frequency,normalized_amplitude
18365885,0.728
18372395,0.743
18378906,0.751
18385416,0.721
18391927,0.742
18398437,0.741
18404947,0.749
18411458,0.754
18417968,0.734
18424479,0.727
18430989,0.748
18437499,0.756
18444010,0.766
18450520,0.751
18457031,0.740
18463541,0.746
18470052,0.757
18476562,0.752
18483072,0.754
18489583,0.745
18496093,0.746
18502604,0.764
18509114,0.764
18515624,0.761
18522135,0.749
18528645,0.743
18535156,0.769
18541666,0.757
18548177,0.747
18554687,0.759
18561197,0.745
18567708,0.758
18574218,0.785
18580729,0.772
18587239,0.755
18593749,0.762
18600260,0.750
18606770,0.778
18613281,0.773
18619791,0.761
18626302,0.762
18632812,0.769
18639322,0.768
18645833,0.776
18652343,0.771
18658854,0.759
18665364,0.784
18671874,0.781
18678385,0.767
18684895,0.771
18691406,0.764
18697916,0.773
18704427,0.805
18710937,0.784
18717447,0.767
18723958,0.776
18730468,0.787
18736979,0.786
18743489,0.773
18749999,0.763
18756510,0.791
18763020,0.794
18769531,0.782
18776041,0.776
18782552,0.777
18789062,0.777
18795572,0.790
18802083,0.793
18808593,0.781
18815104,0.784
18821614,0.782
18828124,0.782
18834635,0.789
18841145,0.783
18847656,0.777
18854166,0.796
18860677,0.793
18867187,0.781
18873697,0.782
18880208,0.782
18886718,0.795
18893229,0.799
18899739,0.779
18906249,0.768
18912760,0.787
18919270,0.789
18925781,0.785
18932291,0.777
18938802,0.778
18945312,0.796
18951822,0.802
18958333,0.776
18964843,0.767
18971354,0.796
18977864,0.796
18984374,0.782
18990885,0.771
18997395,0.773
19003906,0.786
19010416,0.801
19016927,0.788
19023437,0.772
19029947,0.781
19036458,0.777
19042968,0.788
19049479,0.787
19055989,0.775
19062499,0.791
19069010,0.811
19075520,0.777
19082031,0.761
19088541,0.791
19095052,0.788
19101562,0.763
19108072,0.759
19114583,0.771
19121093,0.782
19127604,0.791
19134114,0.770
19140624,0.755
19147135,0.786
19153645,0.783
19160156,0.763
19166666,0.768
19173177,0.778
19179687,0.769
19186197,0.771
19192708,0.774
19199218,0.752
19205729,0.771
19212239,0.783
19218749,0.766
19225260,0.765
19231770,0.780
19238281,0.765
19244791,0.746
19251302,0.758
19257812,0.748
19264322,0.755
19270833,0.769
19277343,0.758
19283854,0.757
19290364,0.776
19296874,0.751
19303385,0.740
19309895,0.748
19316406,0.752
19322916,0.743
19329427,0.757
19335937,0.763
19342447,0.740
19348958,0.754
19355468,0.747
19361979,0.744
19368489,0.742
19374999,0.760
19381510,0.754
19388020,0.739
19394531,0.750
19401041,0.741
19407552,0.725
19414062,0.737
19420572,0.735
19427083,0.727
19433593,0.737
19440104,0.736
19446614,0.732
19453124,0.754
19459635,0.741
19466145,0.718
19472656,0.726
19479166,0.743
19485677,0.729
19492187,0.720
19498697,0.740
19505208,0.733
19511718,0.698
19518229,0.709
19524739,0.739
19531249,0.721
19537760,0.707
19544270,0.716
19550781,0.719
19557291,0.718
19563802,0.714
19570312,0.696
19576822,0.711
19583333,0.722
19589843,0.720
19596354,0.692
19602864,0.704
19609374,0.734
19615885,0.693
19622395,0.686
19628906,0.710
19635416,0.710
19641927,0.689
19648437,0.694
19654947,0.707
19661458,0.689
19667968,0.678
19674479,0.704
19680989,0.709
19687499,0.668
19694010,0.671
19700520,0.692
19707031,0.687
19713541,0.685
19720052,0.693
19726562,0.683
19733072,0.694
19739583,0.696
19746093,0.681
19752604,0.672
19759114,0.686
19765624,0.685
19772135,0.664
19778645,0.679
19785156,0.694
19791666,0.674
19798177,0.661
19804687,0.693
19811197,0.699
19817708,0.664
19824218,0.660
19830729,0.691
19837239,0.693
19843749,0.656
19850260,0.666
19856770,0.684
19863281,0.670
19869791,0.658
19876302,0.669
19882812,0.662
19889322,0.638
19895833,0.647
19902343,0.677
19908854,0.673
19915364,0.637
19921874,0.648
19928385,0.666
19934895,0.643
19941406,0.647
19947916,0.649
19954427,0.640
19960937,0.641
19967447,0.668
19973958,0.667
19980468,0.632
19986979,0.633
19993489,0.664
19999999,0.661
20006510,0.626
20013020,0.640
20019531,0.657
20026041,0.631
20032552,0.616
20039062,0.648
20045572,0.661
20052083,0.621
20058593,0.611
20065104,0.645
20071614,0.643
20078124,0.625
20084635,0.641
20091145,0.653
20097656,0.621
20104166,0.600
20110677,0.643
20117187,0.645
20123697,0.619
20130208,0.618
20136718,0.636
20143229,0.629
20149739,0.612
20156249,0.621
20162760,0.635
20169270,0.610
20175781,0.603
20182291,0.629
20188802,0.629
20195312,0.607
20201822,0.616
20208333,0.635
20214843,0.619
20221354,0.595
20227864,0.612
20234374,0.623
20240885,0.607
20247395,0.598
20253906,0.602
20260416,0.605
20266927,0.611
20273437,0.603
20279947,0.612
20286458,0.611
20292968,0.600
20299479,0.587
20305989,0.598
20312499,0.627
20319010,0.611
20325520,0.578
20332031,0.588
20338541,0.612
20345052,0.603
20351562,0.592
20358072,0.610
20364583,0.616
20371093,0.590
20377604,0.584
20384114,0.615
20390624,0.593
20397135,0.587
20403645,0.611
20410156,0.609
20416666,0.592
20423177,0.592
20429687,0.587
20436197,0.606
20442708,0.596
20449218,0.592
20455729,0.593
20462239,0.597
20468749,0.592
20475260,0.575
20481770,0.587
20488281,0.617
20494791,0.599
20501302,0.570
20507812,0.587
20514322,0.600
20520833,0.581
20527343,0.575
20533854,0.591
20540364,0.608
20546874,0.591
20553385,0.571
20559895,0.569
20566406,0.585
20572916,0.602
20579427,0.593
20585937,0.572
20592447,0.590
20598958,0.605
20605468,0.573
20611979,0.568
20618489,0.589
20624999,0.588
20631510,0.583
20638020,0.591
20644531,0.584
20651041,0.585
20657552,0.575
20664062,0.568
20670572,0.579
20677083,0.596
20683593,0.582
20690104,0.562
20696614,0.587
20703124,0.598
20709635,0.572
20716145,0.561
20722656,0.586
20729166,0.598
20735677,0.584
